Day,Hour,Minute time,Minute from start,% on,Trial,Steady State Est. (psi)
9/5/2024,2,25,25,0.10,1,0.06
9/5/2024,2,27,27,0.20,1,0.49
9/5/2024,2,29,29,0.30,1,1.23
9/5/2024,2,31,31,0.40,1,1.763333333
9/5/2024,2,33,33,0.50,1,2.348333333
9/5/2024,2,35,35,0.60,1,2.933333333
9/5/2024,2,37,37,0.70,1,3.518333333
9/5/2024,2,39,39,0.80,1,4.103333333
9/5/2024,2,41,41,0.90,1,4.688333333
9/5/2024,2,43,43,1.00,1,5.273333333
9/5/2024,2,45,45,0.90,1,4.688333333
9/5/2024,2,47,47,0.80,1,4.103333333
9/5/2024,2,49,49,0.70,1,3.518333333
9/5/2024,2,51,51,0.60,1,2.933333333
9/5/2024,2,53,53,0.50,1,2.348333333
9/5/2024,2,55,55,0.40,1,1.763333333
9/5/2024,2,57,57,0.30,1,1.178333333
9/5/2024,2,59,59,0.20,1,0.5933333333
9/5/2024,3,1,61,0.10,1,0.008333333333
9/5/2024,3,3,63,0.00,,0
9/5/2024,3,5,65,0.10,2,0.06
9/5/2024,3,7,67,0.20,2,0.49
9/5/2024,3,9,69,0.30,2,1.23
9/5/2024,3,11,71,0.40,2,1.763333333
9/5/2024,3,13,73,0.50,2,2.348333333
9/5/2024,3,15,75,0.60,2,2.933333333
9/5/2024,3,17,77,0.70,2,3.518333333
9/5/2024,3,19,79,0.80,2,4.103333333
9/5/2024,3,21,81,0.90,2,4.688333333
9/5/2024,3,23,83,1.00,2,5.273333333
9/5/2024,3,25,85,0.90,2,4.688333333
9/5/2024,3,27,87,0.80,2,4.103333333
9/5/2024,3,29,89,0.70,2,3.518333333
9/5/2024,3,31,91,0.60,2,2.933333333
9/5/2024,3,33,93,0.50,2,2.348333333
9/5/2024,3,35,95,0.40,2,1.763333333
9/5/2024,3,37,97,0.30,2,1.178333333
9/5/2024,3,39,99,0.20,2,0.5933333333
9/5/2024,3,41,101,0.10,2,0.008333333333
9/5/2024,3,43,103,0.00,,0
9/5/2024,3,45,105,0.10,3,0.06
9/5/2024,3,47,107,0.20,3,0.49
9/5/2024,3,49,109,0.30,3,1.23
9/5/2024,3,51,111,0.40,3,1.763333333
9/5/2024,3,53,113,0.50,3,2.348333333
9/5/2024,3,55,115,0.60,3,2.933333333
9/5/2024,3,57,117,0.70,3,3.518333333
9/5/2024,3,59,119,0.80,3,4.103333333
9/5/2024,4,1,121,0.90,3,4.688333333
9/5/2024,4,3,123,1.00,3,5.273333333
9/5/2024,4,5,125,0.90,3,4.688333333
9/5/2024,4,7,127,0.80,3,4.103333333
9/5/2024,4,9,129,0.70,3,3.518333333
9/5/2024,4,11,131,0.60,3,2.933333333
9/5/2024,4,13,133,0.50,3,2.348333333
9/5/2024,4,15,135,0.40,3,1.763333333
9/5/2024,4,17,137,0.30,3,1.178333333
9/5/2024,4,19,139,0.20,3,0.5933333333
9/5/2024,4,21,141,0.10,3,0.008333333333
9/5/2024,4,23,143,0.00,3,0
