Day,Hour,Minute time,Minute from start,% on,Trial,Steady State Est. (psi)
9/5/2024,2,25,25,10.00%,1,0.06
9/5/2024,2,27,27,20.00%,1,0.49
9/5/2024,2,29,29,30.00%,1,1.23
9/5/2024,2,31,31,40.00%,1,1.763333333
9/5/2024,2,33,33,50.00%,1,2.348333333
9/5/2024,2,35,35,60.00%,1,2.933333333
9/5/2024,2,37,37,70.00%,1,3.518333333
9/5/2024,2,39,39,80.00%,1,4.103333333
9/5/2024,2,41,41,90.00%,1,4.688333333
9/5/2024,2,43,43,100.00%,1,5.273333333
9/5/2024,2,45,45,90.00%,1,4.688333333
9/5/2024,2,47,47,80.00%,1,4.103333333
9/5/2024,2,49,49,70.00%,1,3.518333333
9/5/2024,2,51,51,60.00%,1,2.933333333
9/5/2024,2,53,53,50.00%,1,2.348333333
9/5/2024,2,55,55,40.00%,1,1.763333333
9/5/2024,2,57,57,30.00%,1,1.178333333
9/5/2024,2,59,59,20.00%,1,0.5933333333
9/5/2024,3,1,61,10.00%,1,0.008333333333
9/5/2024,3,3,63,0.00%,,0
9/5/2024,3,5,65,10.00%,2,0.06
9/5/2024,3,7,67,20.00%,2,0.49
9/5/2024,3,9,69,30.00%,2,1.23
9/5/2024,3,11,71,40.00%,2,1.763333333
9/5/2024,3,13,73,50.00%,2,2.348333333
9/5/2024,3,15,75,60.00%,2,2.933333333
9/5/2024,3,17,77,70.00%,2,3.518333333
9/5/2024,3,19,79,80.00%,2,4.103333333
9/5/2024,3,21,81,90.00%,2,4.688333333
9/5/2024,3,23,83,100.00%,2,5.273333333
9/5/2024,3,25,85,90.00%,2,4.688333333
9/5/2024,3,27,87,80.00%,2,4.103333333
9/5/2024,3,29,89,70.00%,2,3.518333333
9/5/2024,3,31,91,60.00%,2,2.933333333
9/5/2024,3,33,93,50.00%,2,2.348333333
9/5/2024,3,35,95,40.00%,2,1.763333333
9/5/2024,3,37,97,30.00%,2,1.178333333
9/5/2024,3,39,99,20.00%,2,0.5933333333
9/5/2024,3,41,101,10.00%,2,0.008333333333
9/5/2024,3,43,103,0.00%,,0
9/5/2024,3,45,105,10.00%,3,0.06
9/5/2024,3,47,107,20.00%,3,0.49
9/5/2024,3,49,109,30.00%,3,1.23
9/5/2024,3,51,111,40.00%,3,1.763333333
9/5/2024,3,53,113,50.00%,3,2.348333333
9/5/2024,3,55,115,60.00%,3,2.933333333
9/5/2024,3,57,117,70.00%,3,3.518333333
9/5/2024,3,59,119,80.00%,3,4.103333333
9/5/2024,4,1,121,90.00%,3,4.688333333
9/5/2024,4,3,123,100.00%,3,5.273333333
9/5/2024,4,5,125,90.00%,3,4.688333333
9/5/2024,4,7,127,80.00%,3,4.103333333
9/5/2024,4,9,129,70.00%,3,3.518333333
9/5/2024,4,11,131,60.00%,3,2.933333333
9/5/2024,4,13,133,50.00%,3,2.348333333
9/5/2024,4,15,135,40.00%,3,1.763333333
9/5/2024,4,17,137,30.00%,3,1.178333333
9/5/2024,4,19,139,20.00%,3,0.5933333333
9/5/2024,4,21,141,10.00%,3,0.008333333333
9/5/2024,4,23,143,0.00%,3,0
